,height,weight
0,143,193
1,141,191
2,104,142
3,123,135
4,104,96
5,141,148
6,161,164
7,129,181
8,109,138
9,130,197
10,135,139
11,127,72
12,153,85
13,150,76
14,136,72
15,167,159
16,143,106
17,159,101
18,153,72
19,100,154
20,139,131
21,111,172
22,108,177
23,107,102
24,163,162
25,103,149
26,133,156
27,135,162
28,176,109
29,102,174
30,137,121
31,178,70
32,148,114
33,133,121
34,119,163
35,140,118
36,119,133
37,146,85
38,160,166
39,135,178
40,138,103
41,113,144
42,157,138
43,115,183
44,155,128
45,125,88
46,168,131
47,167,93
48,166,137
49,101,86
50,118,131
51,105,171
52,119,82
53,101,187
54,112,194
55,157,85
56,126,180
57,173,93
58,134,83
59,174,137
60,176,185
61,157,195
62,165,70
63,165,93
64,172,75
65,163,85
66,164,122
67,111,124
68,136,117
69,102,93
70,142,160
71,163,179
72,177,143
73,169,197
74,100,101
75,146,166
76,115,110
77,143,118
78,166,71
79,143,155
80,173,81
81,155,151
82,144,85
83,173,106
84,171,194
85,122,69
86,152,197
87,147,141
88,107,117
89,128,85
90,103,160
91,110,97
92,172,149
93,123,195
94,130,104
95,111,184
96,160,79
97,133,173
98,130,156
99,108,188
